ID,PivotX,PivotY,PivotZ,TargetX,TargetY,TargetZ
002,0.6100,0.2370,-0.0650,5.9563,0.9679,5.5000
003,1.1100,0.2370,-0.0650,6.0006,0.9888,5.5000
004,1.6100,0.2370,-0.0650,6.0686,1.0251,5.5000
005,2.1100,0.2370,-0.0650,6.1258,1.0858,5.5000
006,2.6100,0.2370,-0.0650,6.0942,1.0611,5.5000
007,3.1100,0.2370,-0.0650,6.0956,1.0613,5.5000
008,3.6100,0.2370,-0.0650,6.1179,1.0784,5.5000
009,4.1100,0.2370,-0.0650,6.1575,1.1119,5.5000
010,4.6100,0.2370,-0.0650,6.2327,1.2008,5.5000
011,5.1100,0.2370,-0.0650,6.2629,1.2481,5.5000
012,5.6100,0.2370,-0.0650,5.0272,1.2358,5.5000
013,6.1100,0.2370,-0.0650,5.0822,1.1603,5.5000
014,6.6100,0.2370,-0.0650,5.1317,1.1115,5.5000
015,7.1100,0.2370,-0.0650,5.1661,1.0792,5.5000
016,7.6100,0.2370,-0.0650,5.2169,1.0405,5.5000
017,8.1100,0.2370,-0.0650,5.2563,1.0140,5.5000
018,8.6100,0.2370,-0.0650,5.2761,1.0057,5.5000
019,9.1100,0.2370,-0.0650,5.2904,0.9945,5.5000
020,9.6100,0.2370,-0.0650,5.2881,0.9940,5.5000
021,10.1100,0.2370,-0.0650,5.2513,1.0077,5.5000
022,10.6100,0.2370,-0.0650,5.2102,1.0401,5.5000
024,0.1100,0.2370,-0.5650,6.0249,1.0067,5.5000
026,1.1100,0.2370,-0.5650,6.0139,1.0033,5.5000
028,2.1100,0.2370,-0.5650,6.0398,1.0194,5.5000
030,3.1100,0.2370,-0.5650,6.1029,1.0602,5.5000
032,4.1100,0.2370,-0.5650,6.2271,1.1812,5.5000
034,5.1100,0.2370,-0.5650,6.2614,1.2450,5.5000
036,6.1100,0.2370,-0.5650,5.0715,1.1805,5.5000
038,7.1100,0.2370,-0.5650,5.1656,1.0813,5.5000
040,8.1100,0.2370,-0.5650,5.2433,1.0225,5.5000
042,9.1100,0.2370,-0.5650,5.3046,0.9855,5.5000
044,10.1100,0.2370,-0.5650,5.3570,0.9607,5.5000
046,11.1100,0.2370,-0.5650,5.3955,0.9442,5.5000
001,0.1100,0.2370,-0.0650,5.9405,0.9602,5.5000
081,-2.1440,3.4990,-0.2050,5.6594,0.8904,5.5000
080,-2.6440,3.4990,-0.2050,5.7557,0.8778,5.5000
078,-2.1440,2.8990,-0.2050,5.8692,0.9060,5.5000
075,-2.1440,2.2990,-0.2050,5.8203,0.9141,5.5000
074,-2.6440,2.2990,-0.2050,5.7681,0.9076,5.5000
072,-2.1440,1.6990,-0.2050,5.7905,0.9130,5.5000
084,-2.1440,4.0990,-0.2050,5.5744,0.8962,5.5000
023,11.1100,0.2370,-0.0650,5.2440,0.9940,5.5000
085,13.5600,1.7070,-0.2500,5.4405,0.9310,5.5000
088,13.5600,2.3070,-0.2500,5.5627,0.9056,5.5000
089,14.0600,2.3070,-0.2500,5.6086,0.9000,5.5000
091,13.5600,2.9070,-0.2500,5.6610,0.8986,5.5000
094,13.5600,3.5070,-0.2500,5.6713,0.8901,5.5000
095,14.0600,3.5070,-0.2500,5.7071,0.9010,5.5000
097,13.5600,4.1070,-0.2500,5.7678,0.9087,5.5000
025,0.6100,0.2370,-0.5650,5.9585,0.9720,5.5000
047,0.1100,0.2370,-1.0650,5.9681,0.9734,5.5000
048,0.6100,0.2370,-1.0650,6.0109,0.9944,5.5000
049,1.1100,0.2370,-1.0650,6.0736,1.0287,5.5000
050,1.6100,0.2370,-1.0650,6.1244,1.0834,5.5000
051,2.1100,0.2370,-1.0650,6.0953,1.0617,5.5000
052,2.6100,0.2370,-1.0650,6.0927,1.0591,5.5000
053,3.1100,0.2370,-1.0650,6.1089,1.0711,5.5000
